"order_item_id","order_id","product_id","quantity","price","ingested_at"
"2142","1099","106","1","125.00","2023-08-01"
"2143","1099","102","1","40.00","2023-08-01"
"2144","1100","111","1","42.50","2023-08-01"
"2145","1100","114","1","30.00","2023-08-01"
"2146","1101","114","1","28.50","2023-08-01"
"2147","1101","108","1","10.00","2023-08-01"
"2148","1102","113","1","225.00","2023-08-01"
"2149","1103","126","2","47.00","2023-08-01"
"2150","1104","111","1","39.50","2023-08-01"
"2151","1104","108","1","10.00","2023-08-01"
"2152","1105","113","1","175.00","2023-08-01"
"2153","1106","111","1","42.50","2023-08-01"
"2154","1106","107","2","19.25","2023-08-01"
"2155","1107","114","1","28.50","2023-08-01"
"2156","1107","105","2","7.25","2023-08-01"
"2157","1108","118","1","265.00","2023-08-01"
"2158","1109","126","2","48.75","2023-08-01"
"2159","1110","111","1","42.50","2023-08-01"
"2160","1110","108","1","9.50","2023-08-01"
"2161","1111","113","1","188.00","2023-08-01"
"2162","1112","111","1","42.50","2023-08-01"
"2163","1112","107","2","16.50","2023-08-01"
"2164","1113","114","1","28.50","2023-08-01"
"2165","1113","105","2","5.50","2023-08-01"
"2166","1114","113","1","235.00","2023-08-01"
"2167","1115","126","2","45.50","2023-08-01"
"2168","1116","111","1","38.00","2023-08-01"
"2169","1116","108","1","8.00","2023-08-01"
"2170","1117","113","1","172.00","2023-08-01"
"2171","1118","111","1","42.50","2023-08-01"
"2172","1118","102","1","42.00","2023-08-01"
"2173","1119","116","1","37.00","2023-08-01"
"2174","1120","118","1","245.00","2023-08-01"
"2175","1121","126","2","49.25","2023-08-01"
"2176","1122","111","1","42.50","2023-08-01"
"2177","1122","105","2","6.50","2023-08-01"
